1624607015.477872 client started (14759): version 3.2a, socket /private/tmp/tmux-502/default, protocol 8
1624607015.477927 on Darwin 20.5.0 Darwin Kernel Version 20.5.0: Sat May  8 05:10:33 PDT 2021; root:xnu-7195.121.3~9/RELEASE_X86_64
1624607015.477949 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1624607015.482543 sending message 112 to peer 0x7ffdc5e31000 (15 bytes)
1624607015.482547 sending message 112 to peer 0x7ffdc5e31000 (13 bytes)
1624607015.482551 sending message 112 to peer 0x7ffdc5e31000 (10 bytes)
1624607015.482556 sending message 112 to peer 0x7ffdc5e31000 (10 bytes)
1624607015.482560 sending message 112 to peer 0x7ffdc5e31000 (5 bytes)
1624607015.482564 sending message 112 to peer 0x7ffdc5e31000 (15 bytes)
1624607015.482577 sending message 104 to peer 0x7ffdc5e31000 (0 bytes)
1624607015.482583 sending message 110 to peer 0x7ffdc5e31000 (0 bytes)
1624607015.482587 sending message 107 to peer 0x7ffdc5e31000 (4 bytes)
1624607015.482592 sending message 105 to peer 0x7ffdc5e31000 (52 bytes)
1624607015.482596 sending message 105 to peer 0x7ffdc5e31000 (44 bytes)
1624607015.482601 sending message 105 to peer 0x7ffdc5e31000 (15 bytes)
1624607015.482605 sending message 105 to peer 0x7ffdc5e31000 (20 bytes)
1624607015.482609 sending message 105 to peer 0x7ffdc5e31000 (22 bytes)
1624607015.482614 sending message 105 to peer 0x7ffdc5e31000 (10 bytes)
1624607015.482618 sending message 105 to peer 0x7ffdc5e31000 (656 bytes)
1624607015.482625 sending message 105 to peer 0x7ffdc5e31000 (11 bytes)
1624607015.482630 sending message 105 to peer 0x7ffdc5e31000 (26 bytes)
1624607015.482634 sending message 105 to peer 0x7ffdc5e31000 (14 bytes)
1624607015.482638 sending message 105 to peer 0x7ffdc5e31000 (24 bytes)
1624607015.482643 sending message 105 to peer 0x7ffdc5e31000 (20 bytes)
1624607015.482647 sending message 105 to peer 0x7ffdc5e31000 (61 bytes)
1624607015.482651 sending message 105 to peer 0x7ffdc5e31000 (74 bytes)
1624607015.482656 sending message 105 to peer 0x7ffdc5e31000 (17 bytes)
1624607015.482660 sending message 105 to peer 0x7ffdc5e31000 (19 bytes)
1624607015.482664 sending message 105 to peer 0x7ffdc5e31000 (26 bytes)
1624607015.482669 sending message 105 to peer 0x7ffdc5e31000 (20 bytes)
1624607015.482673 sending message 105 to peer 0x7ffdc5e31000 (54 bytes)
1624607015.482677 sending message 105 to peer 0x7ffdc5e31000 (56 bytes)
1624607015.482682 sending message 105 to peer 0x7ffdc5e31000 (571 bytes)
1624607015.482686 sending message 105 to peer 0x7ffdc5e31000 (10 bytes)
1624607015.482702 sending message 105 to peer 0x7ffdc5e31000 (53 bytes)
1624607015.482707 sending message 105 to peer 0x7ffdc5e31000 (16 bytes)
1624607015.482711 sending message 105 to peer 0x7ffdc5e31000 (66 bytes)
1624607015.482716 sending message 105 to peer 0x7ffdc5e31000 (15 bytes)
1624607015.482720 sending message 105 to peer 0x7ffdc5e31000 (15 bytes)
1624607015.482724 sending message 105 to peer 0x7ffdc5e31000 (8 bytes)
1624607015.482729 sending message 105 to peer 0x7ffdc5e31000 (66 bytes)
1624607015.482733 sending message 105 to peer 0x7ffdc5e31000 (22 bytes)
1624607015.482737 sending message 105 to peer 0x7ffdc5e31000 (17 bytes)
1624607015.482742 sending message 105 to peer 0x7ffdc5e31000 (49 bytes)
1624607015.482748 sending message 105 to peer 0x7ffdc5e31000 (12 bytes)
1624607015.482753 sending message 105 to peer 0x7ffdc5e31000 (18 bytes)
1624607015.482757 sending message 105 to peer 0x7ffdc5e31000 (26 bytes)
1624607015.482762 sending message 105 to peer 0x7ffdc5e31000 (60 bytes)
1624607015.482766 sending message 105 to peer 0x7ffdc5e31000 (57 bytes)
1624607015.482770 sending message 105 to peer 0x7ffdc5e31000 (43 bytes)
1624607015.482775 sending message 105 to peer 0x7ffdc5e31000 (13 bytes)
1624607015.482779 sending message 105 to peer 0x7ffdc5e31000 (50 bytes)
1624607015.482783 sending message 105 to peer 0x7ffdc5e31000 (67 bytes)
1624607015.482836 sending message 105 to peer 0x7ffdc5e31000 (17 bytes)
1624607015.482848 sending message 105 to peer 0x7ffdc5e31000 (14 bytes)
1624607015.482854 sending message 105 to peer 0x7ffdc5e31000 (19 bytes)
1624607015.482859 sending message 105 to peer 0x7ffdc5e31000 (40 bytes)
1624607015.482864 sending message 105 to peer 0x7ffdc5e31000 (48 bytes)
1624607015.482870 sending message 105 to peer 0x7ffdc5e31000 (53 bytes)
1624607015.482877 sending message 105 to peer 0x7ffdc5e31000 (46 bytes)
1624607015.482885 sending message 105 to peer 0x7ffdc5e31000 (37 bytes)
1624607015.482902 sending message 105 to peer 0x7ffdc5e31000 (54 bytes)
1624607015.482913 sending message 105 to peer 0x7ffdc5e31000 (29 bytes)
1624607015.482919 sending message 105 to peer 0x7ffdc5e31000 (29 bytes)
1624607015.482924 sending message 105 to peer 0x7ffdc5e31000 (21 bytes)
1624607015.482928 sending message 105 to peer 0x7ffdc5e31000 (44 bytes)
1624607015.482933 sending message 105 to peer 0x7ffdc5e31000 (37 bytes)
1624607015.482937 sending message 105 to peer 0x7ffdc5e31000 (21 bytes)
1624607015.482942 sending message 105 to peer 0x7ffdc5e31000 (54 bytes)
1624607015.482946 sending message 105 to peer 0x7ffdc5e31000 (25 bytes)
1624607015.482951 sending message 105 to peer 0x7ffdc5e31000 (38 bytes)
1624607015.482955 sending message 105 to peer 0x7ffdc5e31000 (35 bytes)
1624607015.482960 sending message 105 to peer 0x7ffdc5e31000 (42 bytes)
1624607015.482964 sending message 105 to peer 0x7ffdc5e31000 (21 bytes)
1624607015.482969 sending message 105 to peer 0x7ffdc5e31000 (43 bytes)
1624607015.482973 sending message 105 to peer 0x7ffdc5e31000 (33 bytes)
1624607015.482977 sending message 105 to peer 0x7ffdc5e31000 (17 bytes)
1624607015.482982 sending message 105 to peer 0x7ffdc5e31000 (22 bytes)
1624607015.482986 sending message 106 to peer 0x7ffdc5e31000 (0 bytes)
1624607015.483000 sending message 200 to peer 0x7ffdc5e31000 (4 bytes)
1624607015.483005 client loop enter
1624607015.483357 peer 0x7ffdc5e31000 message 303
1624607015.483371 open write file 2 -
1624607015.483396 sending message 305 to peer 0x7ffdc5e31000 (8 bytes)
1624607015.483419 write check file 2
1624607015.483458 peer 0x7ffdc5e31000 message 304
1624607015.483464 write 58 to file 2
1624607015.483474 peer 0x7ffdc5e31000 message 203
1624607015.483480 file 2 58 bytes left
1624607015.483511 write check file 2
1624607015.483517 client loop exit
